pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.2_faster,2.2_faster,3.2_faster,4.2_faster,5.2_faster,6.2_faster,7.2_faster,8.2_faster,9.2_faster,10.2_faster,11.2_faster
P24,Yes,35–44,Female,7 - 10 years,Web Development,Python,No,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P25,Yes,25–34,Prefer not to say,Less than 1 year,Web Development,Ruby,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P26,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics","Python, PHP","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P27,Yes,25–34,Male,7 - 10 years,Embedded Systems,"Java, Go",Yes,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL
P28,Yes,25–34,Male,More than 10 years,Web Development,"Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P29,Yes,25–34,Male,7 - 10 years,"DevOps/Cloud Computing, Backend Development","Java, Kotlin, Lua",Yes,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P30,Yes,35–44,Male,More than 10 years,"Web Development, Integração SOA","Java, C#",No,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P31,Yes,35–44,Male,4 - 6 years,Embedded Systems,"Python, C/C++","I've heard about it, but I've never used it.",JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL
P32,Yes,35–44,Male,More than 10 years,"Data Science/Analytics, Machine Learning/AI",Python,No,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P33,Yes,35–44,Male,Less than 1 year,"DevOps/Cloud Computing, Cybersecurity",Python,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P34,Yes,35–44,Male,1 - 3 years,Web Development,"Java, Python",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P35,Yes,35–44,Male,More than 10 years,"Web Development, DevOps/Cloud Computing","Java, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P36,Yes,25–34,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P37,Yes,25–34,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript",No,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP
P38,Yes,55–64,Female,More than 10 years,"Web Development, Sistemas Desktop","Java, JavaScript/TypeScript, Delphi",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P39,Yes,35–44,Male,More than 10 years,Web Development,Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P40,Yes,45–54,Male,More than 10 years,Web Development,"Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP
P41,Yes,45–54,Male,More than 10 years,Web Development,Java,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P42,Yes,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript",Yes,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P43,Yes,25–34,Male,Less than 1 year,"Web Development, DevOps/Cloud Computing","Python, C/C++, C#","I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P44,Yes,45–54,Prefer not to say,7 - 10 years,"Web Development, Data Science/Analytics","Java, Python",Yes,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P45,Yes,45–54,Female,More than 10 years,Web Development,"Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P46,Yes,35–44,Male,More than 10 years,"Embedded Systems, Data Science/Analytics, Machine Learning/AI","Python, C/C++",Yes,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL
P47,Yes,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P48,Yes,25–34,Male,4 - 6 years,"Web Development, Mobile Development, Machine Learning/AI","Java, Python, JavaScript/TypeScript, PHP",No,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P49,Yes,25–34,Male,More than 10 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P50,Yes,25–34,Male,1 - 3 years,Web Development,"Python, JavaScript/TypeScript, C#",No,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP
P51,Yes,18–24,Male,4 - 6 years,Web Development,Dart,Yes,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL
P52,Yes,45–54,Male,7 - 10 years,Web Development,"Java, Python",Yes,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P53,Yes,35–44,Male,More than 10 years,Mobile Development,"Java, JavaScript/TypeScript, Kotlin, Swift",Yes,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P54,Yes,35–44,Male,More than 10 years,Web Development,"Python, C#","I've heard about it, but I've never used it.",JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P55,Yes,35–44,Male,7 - 10 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P56,Yes,45–54,Male,More than 10 years,"Web Development, Data Science/Analytics, Machine Learning/AI","Java, Python",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P57,Yes,35–44,Male,1 - 3 years,Web Development,"Python, JavaScript/TypeScript",Yes,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP
P58,Yes,25–34,Male,More than 10 years,"Web Development, DevOps/Cloud Computing","Java, Kotlin, Go","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P59,Yes,35–44,Female,7 - 10 years,"Web Development, Data Science/Analytics",Java,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL
P60,Yes,25–34,Male,4 - 6 years,Web Development,"Python, JavaScript/TypeScript, C/C++, Go",Yes,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL
P61,Yes,35–44,Male,7 - 10 years,Web Development,Java,Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P62,Yes,55–64,Male,More than 10 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript, Cobol, Natural, Delphi",No,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P63,Yes,35–44,Female,More than 10 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P64,Yes,35–44,Female,More than 10 years,"Web Development, Mobile Development","Java, Python",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P65,Yes,25–34,Male,Less than 1 year,Web Development,"Python, C#",Yes,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL
P66,Yes,45–54,Male,More than 10 years,"Web Development, Data Science/Analytics","JavaScript/TypeScript, C#",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P67,Yes,55–64,Male,More than 10 years,"Web Development, Mobile Development, Atualmente com foco maior na gestão de projetos e equipes de desenvolvimento de SW","Java, JavaScript/TypeScript",Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P68,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics",Java,Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P69,Yes,25–34,Male,4 - 6 years,Web Development,C#,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P70,Yes,35–44,Male,Less than 1 year,Mobile Development,Java,Yes,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL
P71,Yes,35–44,Male,More than 10 years,Web Development,Java,Yes,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL
P72,Yes,25–34,Male,7 - 10 years,"Data Science/Analytics, DevOps/Cloud Computing, Machine Learning/AI",Python,No,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P73,Yes,35–44,Male,More than 10 years,"Web Development, Mobile Development","Java, PHP, Kotlin, Swift, Go",No,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P74,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics, DevOps/Cloud Computing, Machine Learning/AI","Java, Python, JavaScript/TypeScript, Dart",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P75,Yes,45–54,Male,7 - 10 years,Web Development,"Java, PHP, SQL, PL SQL, Mysql, ",Yes,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL
P76,Yes,25–34,Male,4 - 6 years,Web Development,Java,No,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P77,Yes,25–34,Male,More than 10 years,Backend,Java,No,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P78,Yes,25–34,Female,7 - 10 years,Data Science/Analytics,Python,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL
P79,Yes,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript, Go",Yes,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P80,Yes,45–54,Male,More than 10 years,Data Science/Analytics,"Java, JavaScript/TypeScript, C#, VB6",No,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL
P81,Yes,35–44,Male,1 - 3 years,"Web Development, Data Science/Analytics","Java, Python, JavaScript/TypeScript",Yes,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL
P82,Yes,18–24,Male,Less than 1 year,Web Development,"Java, JavaScript/TypeScript",No,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P83,Yes,35–44,Male,More than 10 years,Machine Learning/AI,Python,Yes,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP
P84,Yes,25–34,Male,4 - 6 years,"Web Development, Mobile Development","Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL
P85,Yes,25–34,Male,1 - 3 years,Database,Python,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL
P86,Yes,35–44,Male,4 - 6 years,SDET,Python,"I've heard about it, but I've never used it.",JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP
P87,Yes,35–44,Male,7 - 10 years,"Web Development, Mobile Development, Data Science/Analytics","Python, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P88,Yes,45–54,Male,1 - 3 years,Software Support,Java,"I've heard about it, but I've never used it.",JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P89,Yes,35–44,Male,7 - 10 years,"Embedded Systems, DevOps/Cloud Computing, Cybersecurity","Python, C/C++","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P90,Yes,35–44,Male,1 - 3 years,"Embedded Systems, DevOps/Cloud Computing, Cybersecurity","Python, C/C++","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP
P91,Yes,35–44,Female,1 - 3 years,"Data Science/Analytics, Salesforce Platform CRM","Apex, SOQL, HTML, JS",No,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P92,Yes,18–24,Non-binary,Less than 1 year,"Web Development, Mobile Development","Java, JavaScript/TypeScript, PHP, Dart","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P93,Yes,18–24,Prefer not to say,1 - 3 years,Web Development,Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P94,Yes,35–44,Male,7 - 10 years,Web Development,Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL
P95,Yes,45–54,Female,4 - 6 years,"Mobile Development, Data Science/Analytics",Python,No,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL
P96,Yes,25–34,Male,4 - 6 years,"Mobile Development, Data Science/Analytics",Python,Yes,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P97,Yes,35–44,Male,7 - 10 years,"Mobile Development, Data Science/Analytics, Machine Learning/AI",Python,Yes,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP
P98,Yes,35–44,Male,More than 10 years,Software Testing,Python,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL
P99,Yes,35–44,Male,7 - 10 years,"Mobile Development, Machine Learning/AI",Python,Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P100,Yes,25–34,Male,Less than 1 year,"Web Development, Data Science/Analytics, Machine Learning/AI, Cybersecurity","Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL
P101,Yes,18–24,Male,4 - 6 years,Web Development,"Python, JavaScript/TypeScript",No,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL
P102,Yes,45–54,Female,More than 10 years,Web Development,"Java, Python, JavaScript/TypeScript, C/C++","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
