file,method,line,n1,n1_operators,n2,n2_operands,N1,N1_operators,N2,N2_operands
Long_BadDecodeArgHandler.java,vioLong_BadDecodeArg,18,10,"['(', ')', ',', ';', '[', ']', 'boolean', 'void', '{', '}']",7,"['Long_BadDecodeArgEvent', 'Object', 'String', 'args', 'isStatic', 'name', 'vioLong_BadDecodeArg']",13,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '(', ')', ';', '}']",8,"['vioLong_BadDecodeArg', 'String', 'name', 'isStatic', 'Object', 'args', 'Long_BadDecodeArgEvent', 'args']"
Long_BadDecodeArgHandler.java,Long_BadDecodeArgEvent,22,23,"['!', '&', '(', ')', '+', ',', '-', '.', ';', '<', '=', 'byte', 'catch', 'else', 'for', 'if', 'int', 'null', 'public', 'try', 'void', '{', '}']",22,"['Character', 'Exception', 'Integer', 'Integer_BadDecodeArg', 'LoggerSpecification', 'Long', 'Long_BadDecodeArgEvent', 'SpecificationType', 'String', 'charAt', 'e', 'i', 'integer', 'isWhitespace', 'length', 'parseInt', 'printLogging', 'radix', 'startsWith', 'str', 'substr', 'substring']",174,"['public', 'void', '(', ',', ')', '{', 'if', '(', '!', '=', 'null', '&', '&', '.', '(', ')', '!', '=', ')', '{', 'for', '(', 'int', '=', ';', '<', '.', '(', ')', ';', '+', '+', ')', '{', 'if', '(', '.', '(', '.', '(', ')', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}', ';', 'if', '(', '.', '(', ')', '=', '=', '-', ')', '{', '=', '.', '(', ')', ';', '}', 'else', '{', '=', ';', '}', 'byte', ';', 'if', '(', '!', '.', '(', ')', '&', '&', '!', '.', '(', ')', ')', '{', 'if', '(', '.', '(', ')', ')', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'else', 'if', '(', '.', '(', ')', ')', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'else', '{', '=', ';', '}', '}', 'else', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'try', '{', 'if', '(', '.', '(', ',', ')', '<', ')', '{', '.', '(', '.', ')', ';', '}', '}', 'catch', '(', ')', '{', '.', '(', '.', ')', ';', '}', '}', 'else', '{', '.', '(', '.', ')', ';', '}', '}']",71,"['Long_BadDecodeArgEvent', 'Long', 'integer', 'String', 'str', 'str', 'str', 'length', 'i', 'i', 'str', 'length', 'i', 'Character', 'isWhitespace', 'str', 'charAt', 'i', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Integer_BadDecodeArg', 'String', 'substr', 'str', 'charAt', 'substr', 'str', 'substring', 'substr', 'str', 'radix', 'substr', 'startsWith', 'substr', 'startsWith', 'substr', 'startsWith', 'substr', 'substr', 'substring', 'radix', 'substr', 'startsWith', 'substr', 'substr', 'substring', 'radix', 'radix', 'substr', 'substr', 'substring', 'radix', 'Integer', 'parseInt', 'substr', 'radix', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Integer_BadDecodeArg', 'Exception', 'e', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Integer_BadDecodeArg', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Integer_BadDecodeArg']"
Object_MonitorOwnerHandler.java,vioObject_MonitorOwnerWait,8,14,"['!', '(', ')', ',', '.', ';', '=', '[', ']', 'boolean', 'if', 'void', '{', '}']",10,"['Object', 'String', 'Thread', 'args', 'eventObject_MonitorOwnerNotify', 'holdsLock', 'isStatic', 'name', 'o', 'vioObject_MonitorOwnerWait']",28,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '=', '(', ')', '[', ']', ';', 'if', '(', '!', '.', '(', ')', ')', '{', '(', ')', ';', '}', '}']",15,"['vioObject_MonitorOwnerWait', 'String', 'name', 'isStatic', 'Object', 'args', 'Object', 'o', 'Object', 'args', 'Thread', 'holdsLock', 'o', 'eventObject_MonitorOwnerNotify', 'args']"
Object_MonitorOwnerHandler.java,vioObject_MonitorOwnerNotify,17,14,"['!', '(', ')', ',', '.', ';', '=', '[', ']', 'boolean', 'if', 'void', '{', '}']",10,"['Object', 'String', 'Thread', 'args', 'eventObject_MonitorOwnerNotify', 'holdsLock', 'isStatic', 'name', 'o', 'vioObject_MonitorOwnerNotify']",28,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '=', '(', ')', '[', ']', ';', 'if', '(', '!', '.', '(', ')', ')', '{', '(', ')', ';', '}', '}']",15,"['vioObject_MonitorOwnerNotify', 'String', 'name', 'isStatic', 'Object', 'args', 'Object', 'o', 'Object', 'args', 'Thread', 'holdsLock', 'o', 'eventObject_MonitorOwnerNotify', 'args']"
Object_MonitorOwnerHandler.java,eventObject_MonitorOwnerWait,24,8,"['(', ')', '.', ';', 'public', 'void', '{', '}']",5,"['LoggerSpecification', 'Object', 'eventObject_MonitorOwnerWait', 'o', 'printLoggingObject_MonitorOwner']",10,"['public', 'void', '(', ')', '{', '.', '(', ')', ';', '}']",5,"['eventObject_MonitorOwnerWait', 'Object', 'o', 'LoggerSpecification', 'printLoggingObject_MonitorOwner']"
Object_MonitorOwnerHandler.java,eventObject_MonitorOwnerNotify,28,8,"['(', ')', '.', ';', 'public', 'void', '{', '}']",5,"['LoggerSpecification', 'Object', 'eventObject_MonitorOwnerNotify', 'o', 'printLoggingObject_MonitorOwner']",10,"['public', 'void', '(', ')', '{', '.', '(', ')', ';', '}']",5,"['eventObject_MonitorOwnerNotify', 'Object', 'o', 'LoggerSpecification', 'printLoggingObject_MonitorOwner']"
OutputStream_ManipulateAfterCloseHandler.java,vioOutputStream_ManipulateAfterClose,25,12,"['!', '(', ')', ',', ';', '[', ']', 'if', 'instanceof', 'void', '{', '}']",7,"['ByteArrayOutputStream', 'OutputStream', 'String', 'history', 'outputStream', 'outputStream_ManipulateAfterCloseEvent', 'vioOutputStream_ManipulateAfterClose']",20,"['void', '(', ',', '[', ']', ')', '{', 'if', '(', '!', '(', 'instanceof', ')', ')', '{', '(', ')', ';', '}', '}']",9,"['vioOutputStream_ManipulateAfterClose', 'OutputStream', 'outputStream', 'String', 'history', 'outputStream', 'ByteArrayOutputStream', 'outputStream_ManipulateAfterCloseEvent', 'history']"
OutputStream_ManipulateAfterCloseHandler.java,outputStream_ManipulateAfterCloseEvent,31,14,"['(', ')', ',', '.', ';', '=', '[', ']', 'if', 'new', 'public', 'void', '{', '}']",9,"['LoggerSpecification', 'OutputStream_ManipulateAfterClose', 'SpecificationType', 'String', 'filter', 'history', 'interesting', 'outputStream_ManipulateAfterCloseEvent', 'printLogging']",31,"['public', 'void', '(', '[', ']', ')', '{', '[', ']', '=', 'new', '[', ']', '{', ',', '}', ';', 'if', '(', '(', ',', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}']",13,"['outputStream_ManipulateAfterCloseEvent', 'String', 'history', 'String', 'interesting', 'String', 'filter', 'history', 'interesting', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'OutputStream_ManipulateAfterClose']"
OutputStream_ManipulateAfterCloseHandler.java,filter,40,21,"['(', ')', '+', ',', '.', ':', ';', '<', '=', '[', ']', 'boolean', 'false', 'for', 'if', 'int', 'private', 'return', 'true', '{', '}']",10,"['String', 'equals', 'filter', 'foundClose', 'history', 'i', 'interesting', 'interestingMethod', 'j', 'length']",77,"['private', 'boolean', '(', '[', ']', ',', '[', ']', ')', '{', 'boolean', '=', 'false', ';', 'for', '(', 'int', '=', ';', '<', '.', ';', '+', '+', ')', '{', 'if', '(', '.', '(', '[', ']', ')', ')', '{', '=', 'true', ';', 'for', '(', 'int', '=', '+', ';', '<', '.', ';', '+', '+', ')', '{', 'for', '(', ':', ')', '{', 'if', '(', '.', '(', '[', ']', ')', ')', '{', 'return', 'true', ';', '}', '}', '}', '}', '}', 'return', 'false', ';', '}']",28,"['filter', 'String', 'history', 'String', 'interesting', 'foundClose', 'i', 'i', 'history', 'length', 'i', 'equals', 'history', 'i', 'foundClose', 'j', 'i', 'j', 'history', 'length', 'j', 'String', 'interestingMethod', 'interesting', 'interestingMethod', 'equals', 'history', 'j']"
PriorityQueue_NonComparableHandler.java,vioPriorityQueue_NonComparableAdd,23,11,"['(', ')', ',', ';', '=', '[', ']', 'boolean', 'void', '{', '}']",8,"['Object', 'String', 'args', 'eventPriorityQueue_NonComparableAdd', 'isStatic', 'name', 'o', 'vioPriorityQueue_NonComparableAdd']",17,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '=', '[', ']', ';', '(', ')', ';', '}']",11,"['vioPriorityQueue_NonComparableAdd', 'String', 'name', 'isStatic', 'Object', 'args', 'Object', 'o', 'args', 'eventPriorityQueue_NonComparableAdd', 'o']"
PriorityQueue_NonComparableHandler.java,vioPriorityQueue_NonComparableaddAll,29,6,"['(', ')', ';', 'void', '{', '}']",4,"['PriorityQueue', 'eventPriorityQueue_NonComparableAddAll', 'priorityQueue', 'vioPriorityQueue_NonComparableaddAll']",8,"['void', '(', ')', '{', '(', ')', ';', '}']",5,"['vioPriorityQueue_NonComparableaddAll', 'PriorityQueue', 'priorityQueue', 'eventPriorityQueue_NonComparableAddAll', 'priorityQueue']"
PriorityQueue_NonComparableHandler.java,eventPriorityQueue_NonComparableAdd,33,11,"['!', '(', ')', '.', ';', 'if', 'instanceof', 'public', 'void', '{', '}']",8,"['Comparable', 'LoggerSpecification', 'Object', 'PriorityQueue_NonComparable', 'SpecificationType', 'eventPriorityQueue_NonComparableAdd', 'o', 'printLogging']",20,"['public', 'void', '(', ')', '{', 'if', '(', '!', '(', 'instanceof', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}']",9,"['eventPriorityQueue_NonComparableAdd', 'Object', 'o', 'o', 'Comparable', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'PriorityQueue_NonComparable']"
PriorityQueue_NonComparableHandler.java,eventPriorityQueue_NonComparableAddAll,39,15,"['!', '(', ')', '.', ':', ';', '<', '>', 'for', 'if', 'instanceof', 'public', 'void', '{', '}']",10,"['Comparable', 'LoggerSpecification', 'Object', 'PriorityQueue', 'PriorityQueue_NonComparable', 'SpecificationType', 'eventPriorityQueue_NonComparableAddAll', 'o', 'objects', 'printLogging']",28,"['public', 'void', '(', '<', '>', ')', '{', 'for', '(', ':', ')', '{', 'if', '(', '!', '(', 'instanceof', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}', '}']",13,"['eventPriorityQueue_NonComparableAddAll', 'PriorityQueue', 'Object', 'objects', 'Object', 'o', 'objects', 'o', 'Comparable', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'PriorityQueue_NonComparable']"
Runnable_OverrideRunHandler.java,vioRunnable_OverrideRun,17,8,"['(', ')', '.', ';', '=', 'void', '{', '}']",9,"['Class', 'JoinPoint', 'Runnable_OverrideRunEvent', 'getDeclaringType', 'getSignature', 'getStaticPart', 'joinPoint', 'objClasse', 'vioRunnable_OverrideRun']",19,"['void', '(', ')', '{', '=', '.', '(', ')', '.', '(', ')', '.', '(', ')', ';', '(', ')', ';', '}']",11,"['vioRunnable_OverrideRun', 'JoinPoint', 'joinPoint', 'Class', 'objClasse', 'joinPoint', 'getStaticPart', 'getSignature', 'getDeclaringType', 'Runnable_OverrideRunEvent', 'objClasse']"
Runnable_OverrideRunHandler.java,getMethodRunnable_OverrideRun,21,21,"['!', '&', '(', ')', '.', ';', '<', '=', '>', '?', '[', ']', 'catch', 'if', 'new', 'null', 'private', 'return', 'try', '{', '}']",12,"['Class', 'Method', 'NoSuchMethodException', 'String', 'e', 'equals', 'getMethod', 'getMethodRunnable_OverrideRun', 'getName', 'klazz', 'method', 'printStackTrace']",61,"['private', '[', ']', '(', '<', '?', '>', ')', '{', 'if', '(', '!', '=', 'null', ')', '{', 'try', '{', '=', '.', '(', ')', ';', 'if', '(', '!', '=', 'null', '&', '&', '.', '(', ')', '.', '(', ')', ')', '{', 'return', 'new', '[', ']', '{', '}', ';', '}', '}', 'catch', '(', ')', '{', '.', '(', ')', ';', '}', '}', 'return', 'null', ';', '}']",18,"['String', 'getMethodRunnable_OverrideRun', 'Class', 'klazz', 'klazz', 'Method', 'method', 'klazz', 'getMethod', 'method', 'method', 'getName', 'equals', 'String', 'NoSuchMethodException', 'e', 'e', 'printStackTrace']"
Runnable_OverrideRunHandler.java,Runnable_OverrideRunEvent,35,17,"['!', '(', ')', '.', ';', '<', '=', '>', '?', '[', ']', 'if', 'null', 'public', 'void', '{', '}']",11,"['Authenticator_OverrideGetPasswordAuthentication', 'Class', 'LoggerSpecification', 'Runnable_OverrideRunEvent', 'SpecificationType', 'String', 'equals', 'getMethodRunnable_OverrideRun', 'klazz', 'methodRun', 'printLogging']",39,"['public', 'void', '(', '<', '?', '>', ')', '{', '[', ']', '=', '(', ')', ';', 'if', '(', '!', '=', 'null', ')', '{', 'if', '(', '!', '[', ']', '.', '(', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}', '}']",14,"['Runnable_OverrideRunEvent', 'Class', 'klazz', 'String', 'methodRun', 'getMethodRunnable_OverrideRun', 'klazz', 'methodRun', 'methodRun', 'equals', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Authenticator_OverrideGetPasswordAuthentication']"
ServerSocket_BacklogHandler.java,vioServerSocket_BacklogBind,19,10,"['(', ')', ',', ';', '[', ']', 'boolean', 'void', '{', '}']",7,"['Object', 'String', 'args', 'eventServerSocket_Backlog', 'isStatic', 'name', 'vioServerSocket_BacklogBind']",13,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '(', ')', ';', '}']",8,"['vioServerSocket_BacklogBind', 'String', 'name', 'isStatic', 'Object', 'args', 'eventServerSocket_Backlog', 'args']"
ServerSocket_BacklogHandler.java,vioServerSocket_BacklogNew,23,10,"['(', ')', ',', ';', '[', ']', 'boolean', 'void', '{', '}']",7,"['Object', 'String', 'args', 'eventServerSocket_Backlog', 'isStatic', 'name', 'vioServerSocket_BacklogNew']",13,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '(', ')', ';', '}']",8,"['vioServerSocket_BacklogNew', 'String', 'name', 'isStatic', 'Object', 'args', 'eventServerSocket_Backlog', 'args']"
ServerSocket_BacklogHandler.java,eventServerSocket_Backlog,27,14,"['(', ')', ',', '.', ';', '<', '=', 'if', 'int', 'null', 'public', 'void', '{', '}']",6,"['LoggerSpecification', 'ServerSocket_Port', 'SpecificationType', 'backlog', 'eventServerSocket_Backlog', 'printLogging']",21,"['public', 'void', '(', 'int', ')', '{', 'if', '(', '<', '=', ')', '{', '.', '(', '.', ',', 'null', ')', ';', '}', '}']",7,"['eventServerSocket_Backlog', 'backlog', 'backlog', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'ServerSocket_Port']"
URLEncoder_EncodeUTF8Handler.java,vioEncoder_encodeUTF8,18,10,"['(', ')', ',', ';', '[', ']', 'boolean', 'void', '{', '}']",7,"['Object', 'String', 'args', 'isStatic', 'name', 'urlEncoder_EncodeUTF8', 'vioEncoder_encodeUTF8']",13,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', '(', ')', ';', '}']",8,"['vioEncoder_encodeUTF8', 'String', 'name', 'isStatic', 'Object', 'args', 'urlEncoder_EncodeUTF8', 'args']"
URLEncoder_EncodeUTF8Handler.java,urlEncoder_EncodeUTF8,23,10,"['!', '&', '(', ')', '.', ';', 'if', 'void', '{', '}']",8,"['LoggerSpecification', 'SpecificationType', 'String', 'URLEncoder_encoderUTF8', 'encode', 'equalsIgnoreCase', 'printLogging', 'urlEncoder_EncodeUTF8']",25,"['void', '(', ')', '{', 'if', '(', '!', '.', '(', ')', '&', '&', '!', '.', '(', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}']",11,"['urlEncoder_EncodeUTF8', 'String', 'encode', 'encode', 'equalsIgnoreCase', 'encode', 'equalsIgnoreCase', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'URLEncoder_encoderUTF8']"
