pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.1_intuitive,1.2_faster,1.3_detailed,1.4_simpler,2.1_intuitive,2.2_faster,2.3_detailed,2.4_simpler,3.1_intuitive,3.2_faster,3.3_detailed,3.4_simpler,4.1_intuitive,4.2_faster,4.3_detailed,4.4_simpler,5.1_intuitive,5.2_faster,5.3_detailed,5.4_simpler,6.1_intuitive,6.2_faster,6.3_detailed,6.4_simpler,7.1_intuitive,7.2_faster,7.3_detailed,7.4_simpler,8.1_intuitive,8.2_faster,8.3_detailed,8.4_simpler,9.1_intuitive,9.2_faster,9.3_detailed,9.4_simpler,10.1_intuitive,10.2_faster,10.3_detailed,10.4_simpler,11.1_intuitive,11.2_faster,11.3_detailed,11.4_simpler
P11,#NUM!,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript, Kotlin, Go",No,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL
P12,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development","Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P13,#NUM!,35–44,Male,More than 10 years,"Web Development, Embedded Systems, DevOps/Cloud Computing","Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL
P14,#NUM!,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript",No,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P15,#NUM!,18–24,Female,1 - 3 years,Web Development,"Python, C#",Yes,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P16,#NUM!,25–34,Male,4 - 6 years,Web Development,Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P17,#NUM!,35–44,Male,7 - 10 years,"Web Development, Machine Learning/AI",Java,Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL
P18,#NUM!,25–34,Male,7 - 10 years,Data Science/Analytics,"Python, PHP","I've heard about it, but I've never used it.",JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL
P19,#NUM!,45–54,Male,More than 10 years,Web Development,"JavaScript/TypeScript, C#",Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P20,#NUM!,25–34,Male,7 - 10 years,"Web Development, Mobile Development","Java, Kotlin",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P21,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development, Embedded Systems, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript, C/C++, C#, PHP",Yes,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL
P22,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development, Embedded Systems, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript, C#, Kotlin, Swift, Go","I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P23,Yes,35–44,Male,Less than 1 year,"Web Development, Cybersecurity","Python, PHP",Yes,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P24,Yes,35–44,Female,7 - 10 years,Web Development,Python,No,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P25,Yes,25–34,Prefer not to say,Less than 1 year,Web Development,Ruby,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P26,Yes,35–44,Male,More than 10 years,"Web Development, Data Science/Analytics","Python, PHP","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P27,Yes,25–34,Male,7 - 10 years,Embedded Systems,"Java, Go",Yes,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL
P28,Yes,25–34,Male,More than 10 years,Web Development,"Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P29,Yes,25–34,Male,7 - 10 years,"DevOps/Cloud Computing, Backend Development","Java, Kotlin, Lua",Yes,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL
P30,Yes,35–44,Male,More than 10 years,"Web Development, Integração SOA","Java, C#",No,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P31,Yes,35–44,Male,4 - 6 years,Embedded Systems,"Python, C/C++","I've heard about it, but I've never used it.",JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P32,Yes,35–44,Male,More than 10 years,"Data Science/Analytics, Machine Learning/AI",Python,No,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL
P33,Yes,35–44,Male,Less than 1 year,"DevOps/Cloud Computing, Cybersecurity",Python,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP
P34,Yes,35–44,Male,1 - 3 years,Web Development,"Java, Python",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P35,Yes,35–44,Male,More than 10 years,"Web Development, DevOps/Cloud Computing","Java, JavaScript/TypeScript",Yes,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P36,Yes,25–34,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P37,Yes,25–34,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript",No,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P38,Yes,55–64,Female,More than 10 years,"Web Development, Sistemas Desktop","Java, JavaScript/TypeScript, Delphi",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P39,Yes,35–44,Male,More than 10 years,Web Development,Java,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P40,Yes,45–54,Male,More than 10 years,Web Development,"Java, Python, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P41,Yes,45–54,Male,More than 10 years,Web Development,Java,"I've heard about it, but I've never used it.",JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P42,Yes,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript",Yes,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P43,Yes,25–34,Male,Less than 1 year,"Web Development, DevOps/Cloud Computing","Python, C/C++, C#","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P44,Yes,45–54,Prefer not to say,7 - 10 years,"Web Development, Data Science/Analytics","Java, Python",Yes,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP
P45,Yes,45–54,Female,More than 10 years,Web Development,"Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P46,Yes,35–44,Male,More than 10 years,"Embedded Systems, Data Science/Analytics, Machine Learning/AI","Python, C/C++",Yes,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP
P47,Yes,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
